change_type,entity_type,category,ticker,name,horizon_months,previous_rank,current_rank,rank_delta,previous_return,current_return,return_delta,previous_report_date,current_report_date,detail
category_performance,category,Pharma Distribution,,Pharma Distribution,24,4,4,0,0.700624107158,0.632957569658,-0.0676665375,2026-08-10,2026-08-17,Pharma Distribution moved from rank #4 to #4 among subcategories at 24 months; return +70.1% to +63.3%.
category_performance,category,Pharma Distribution,,Pharma Distribution,3,3,3,0,0.219806430369,0.179712911409,-0.04009351896,2026-08-10,2026-08-17,Pharma Distribution moved from rank #3 to #3 among subcategories at 3 months; return +22.0% to +18.0%.
category_performance,category,Precision Diagnostics,,Precision Diagnostics,12,2,1,1,0.9562101026,0.806611434939,-0.149598667661,2026-08-10,2026-08-17,Precision Diagnostics moved from rank #2 to #1 among subcategories at 12 months; return +95.6% to +80.7%.
category_performance,category,Precision Diagnostics,,Precision Diagnostics,24,1,1,0,1.40172247881,1.26603374331,-0.1356887355,2026-08-10,2026-08-17,Precision Diagnostics moved from rank #1 to #1 among subcategories at 24 months; return +140.2% to +126.6%.
category_performance,category,Precision Diagnostics,,Precision Diagnostics,3,1,1,0,0.455963503005,0.473482583224,0.017519080219,2026-08-10,2026-08-17,Precision Diagnostics moved from rank #1 to #1 among subcategories at 3 months; return +45.6% to +47.3%.
category_performance,category,Value-Based Care,,Value-Based Care,12,1,2,-1,1.05235726491,0.806406698893,-0.245950566017,2026-08-10,2026-08-17,Value-Based Care moved from rank #1 to #2 among subcategories at 12 months; return +105.2% to +80.6%.
category_performance,category,Value-Based Care,,Value-Based Care,24,10,10,0,-0.121215940607,-0.0947416879046,0.0264742527024,2026-08-10,2026-08-17,Value-Based Care moved from rank #10 to #10 among subcategories at 24 months; return -12.1% to -9.5%.
category_performance,category,Value-Based Care,,Value-Based Care,3,5,7,-2,0.193841528829,0.0611654291943,-0.132676099635,2026-08-10,2026-08-17,Value-Based Care moved from rank #5 to #7 among subcategories at 3 months; return +19.4% to +6.1%.
within_category,stock,"Digital Health, Specialty, Benefits",AMWL,Amwell,12,2,2,0,0.857142857143,0.741258741259,-0.115884115884,2026-08-10,2026-08-17,"Amwell moved from rank #2 to #2 within Digital Health, Specialty, Benefits at 12 months; return +85.7% to +74.1%."
within_category,stock,"Digital Health, Specialty, Benefits",AMWL,Amwell,24,3,4,-1,0.601895734597,0.437644341801,-0.164251392796,2026-08-10,2026-08-17,"Amwell moved from rank #3 to #4 within Digital Health, Specialty, Benefits at 24 months; return +60.2% to +43.8%."
