report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-17,2026-08-14,category,Precision Diagnostics,,Precision Diagnostics,3,0.473482583224,1,,,168611092169,1,2026-08-14
2026-08-17,2026-08-14,category,"Digital Health, Specialty, Benefits",,"Digital Health, Specialty, Benefits",3,0.238011985332,2,,,26312964338.3,1,2026-08-14
2026-08-17,2026-08-14,category,Pharma Distribution,,Pharma Distribution,3,0.179712911409,3,,,222577856249,1,2026-08-14
2026-08-17,2026-08-14,category,Outpatient and Home Providers,,Outpatient and Home Providers,3,0.123379759069,4,,,64788787758.1,1,2026-08-14
2026-08-17,2026-08-14,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,3,0.123166111549,5,,,31441382422.3,1,2026-08-14
2026-08-17,2026-08-14,category,Health Care Real Estate,,Health Care Real Estate,3,0.070882384272,6,,,266432919584,1,2026-08-14
2026-08-17,2026-08-14,category,Value-Based Care,,Value-Based Care,3,0.0611654291943,7,,,7199786717.83,1,2026-08-14
2026-08-17,2026-08-14,category,Payers,,Payers,3,0.0426670980521,8,,,769783972395,1,2026-08-14
2026-08-17,2026-08-14,category,Health System Providers,,Health System Providers,3,0.0324636421947,9,,,119831113197,1,2026-08-14
2026-08-17,2026-08-14,category,Health IT and Data,,Health IT and Data,3,-0.0922876267273,10,,,470568402022,1,2026-07-31
2026-08-17,2026-08-14,category,Precision Diagnostics,,Precision Diagnostics,12,0.806611434939,1,,,168611092169,0.961195568365,2026-08-14
2026-08-17,2026-08-14,category,Value-Based Care,,Value-Based Care,12,0.806406698893,2,,,7199786717.83,1,2026-08-14
2026-08-17,2026-08-14,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,12,0.744697156406,3,,,31441382422.3,1,2026-08-14
2026-08-17,2026-08-14,category,Outpatient and Home Providers,,Outpatient and Home Providers,12,0.518902426763,4,,,64788787758.1,1,2026-08-14
2026-08-17,2026-08-14,category,Health Care Real Estate,,Health Care Real Estate,12,0.372038086192,5,,,266432919584,0.989606378205,2026-08-14
2026-08-17,2026-08-14,category,Payers,,Payers,12,0.351948184652,6,,,769783972395,1,2026-08-14
2026-08-17,2026-08-14,category,Pharma Distribution,,Pharma Distribution,12,0.300068673074,7,,,222577856249,1,2026-08-14
2026-08-17,2026-08-14,category,Health System Providers,,Health System Providers,12,0.106456369394,8,,,119831113197,1,2026-08-14
