change_type,entity_type,category,ticker,name,horizon_months,previous_rank,current_rank,rank_delta,previous_return,current_return,return_delta,previous_report_date,current_report_date,detail
category_performance,category,Health Care Real Estate,,Health Care Real Estate,12,5,6,-1,0.334038575617,0.364251877603,0.030213301986,2026-08-03,2026-08-10,Health Care Real Estate moved from rank #5 to #6 among subcategories at 12 months; return +33.4% to +36.4%.
category_performance,category,Health Care Real Estate,,Health Care Real Estate,24,2,3,-1,0.478615402085,0.786511274493,0.307895872408,2026-08-03,2026-08-10,Health Care Real Estate moved from rank #2 to #3 among subcategories at 24 months; return +47.9% to +78.7%.
category_performance,category,Health Care Real Estate,,Health Care Real Estate,3,4,7,-3,0.105071753293,0.0832557889287,-0.0218159643643,2026-08-03,2026-08-10,Health Care Real Estate moved from rank #4 to #7 among subcategories at 3 months; return +10.5% to +8.3%.
category_performance,category,Health IT and Data,,Health IT and Data,12,8,10,-2,-0.372656039778,-0.316780857156,0.055875182622,2026-08-03,2026-08-10,Health IT and Data moved from rank #8 to #10 among subcategories at 12 months; return -37.3% to -31.7%.
category_performance,category,Health IT and Data,,Health IT and Data,24,6,8,-2,0.0325953994846,0.115304157376,0.0827087578914,2026-08-03,2026-08-10,Health IT and Data moved from rank #6 to #8 among subcategories at 24 months; return +3.3% to +11.5%.
category_performance,category,Health IT and Data,,Health IT and Data,3,8,10,-2,-0.133568569836,-0.138631989569,-0.005063419733,2026-08-03,2026-08-10,Health IT and Data moved from rank #8 to #10 among subcategories at 3 months; return -13.4% to -13.9%.
category_performance,category,Health System Providers,,Health System Providers,12,6,8,-2,0.203844138654,0.161300007794,-0.04254413086,2026-08-03,2026-08-10,Health System Providers moved from rank #6 to #8 among subcategories at 12 months; return +20.4% to +16.1%.
category_performance,category,Health System Providers,,Health System Providers,24,5,7,-2,0.225009812696,0.212418257523,-0.012591555173,2026-08-03,2026-08-10,Health System Providers moved from rank #5 to #7 among subcategories at 24 months; return +22.5% to +21.2%.
category_performance,category,Health System Providers,,Health System Providers,3,7,9,-2,0.016579325303,0.0319200251937,0.0153406998907,2026-08-03,2026-08-10,Health System Providers moved from rank #7 to #9 among subcategories at 3 months; return +1.7% to +3.2%.
category_performance,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,12,1,3,-2,0.872963456208,0.900251012903,0.027287556695,2026-08-03,2026-08-10,Inpatient Non-Acute Providers moved from rank #1 to #3 among subcategories at 12 months; return +87.3% to +90.0%.
