report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-10,2026-08-07,category,Precision Diagnostics,,Precision Diagnostics,3,0.455963503005,1,,,168611092169,1,2026-08-07
2026-08-10,2026-08-07,category,"Digital Health, Specialty, Benefits",,"Digital Health, Specialty, Benefits",3,0.225390852569,2,,,26312964338.3,1,2026-08-07
2026-08-10,2026-08-07,category,Pharma Distribution,,Pharma Distribution,3,0.219806430369,3,,,222577856249,1,2026-08-07
2026-08-10,2026-08-07,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,3,0.209885292323,4,,,31441382422.3,1,2026-08-07
2026-08-10,2026-08-07,category,Value-Based Care,,Value-Based Care,3,0.193841528829,5,,,7199786717.83,1,2026-08-07
2026-08-10,2026-08-07,category,Outpatient and Home Providers,,Outpatient and Home Providers,3,0.126878196381,6,,,64788787758.1,1,2026-08-07
2026-08-10,2026-08-07,category,Health Care Real Estate,,Health Care Real Estate,3,0.0832557889287,7,,,266432919584,1,2026-08-07
2026-08-10,2026-08-07,category,Payers,,Payers,3,0.0828143112801,8,,,769783972395,1,2026-08-07
2026-08-10,2026-08-07,category,Health System Providers,,Health System Providers,3,0.0319200251937,9,,,119831113197,1,2026-08-07
2026-08-10,2026-08-07,category,Health IT and Data,,Health IT and Data,3,-0.138631989569,10,,,470568402022,1,2026-07-31
2026-08-10,2026-08-07,category,Value-Based Care,,Value-Based Care,12,1.05235726491,1,,,7199786717.83,1,2026-08-07
2026-08-10,2026-08-07,category,Precision Diagnostics,,Precision Diagnostics,12,0.9562101026,2,,,168611092169,0.961195568365,2026-08-07
2026-08-10,2026-08-07,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,12,0.900251012903,3,,,31441382422.3,1,2026-08-07
2026-08-10,2026-08-07,category,Outpatient and Home Providers,,Outpatient and Home Providers,12,0.616279890136,4,,,64788787758.1,1,2026-08-07
